kode_satker,nama_kementerian,provinsi,tipe_satker,jenis_belanja_utama,pagu_miliar,jumlah_pegawai,jumlah_spm,revisi_dipa,realisasi_tw1_persen,realisasi_tw2_persen,realisasi_tw3_persen,deviasi_rpd_persen,skor_ikpa,realisasi_tercapai_95persen
SAT0188,Kemenkes,NTT,Kantor Daerah,Bantuan Sosial,39.63,207,187,4,6.79,32.1,44.0,11.37,85.56,Tidak
SAT0189,Kemenag,NTB,Tugas Pembantuan,Belanja Pegawai,5.08,107,134,3,15.24,25.24,55.22,27.45,77.38,Ya
SAT0190,Kemendikbud,NTT,Dekonsentrasi,Bantuan Sosial,51.82,74,66,1,12.78,31.11,47.64,7.54,80.74,Tidak
SAT0191,Kemenhub,Bali,Tugas Pembantuan,Belanja Pegawai,16.51,339,153,4,21.93,42.38,67.34,25.33,99.69,Ya
SAT0192,Kementan,Papua,Tugas Pembantuan,Belanja Modal,14.05,350,83,0,20.14,31.23,57.36,14.52,90.53,Tidak
SAT0193,Kemendagri,Papua,Kantor Daerah,Belanja Pegawai,51.7,14,153,2,14.11,43.57,70.73,15.42,98.47,Ya
SAT0194,Kemenhub,Jawa Barat,Kantor Pusat,Belanja Pegawai,37.54,11,142,5,10.45,24.97,54.92,9.25,74.28,Tidak
SAT0195,Kemenkes,Riau,Kantor Daerah,Belanja Modal,14.28,31,62,4,29.7,45.78,60.61,17.19,81.46,Ya
SAT0196,Kemenag,Riau,Kantor Daerah,Belanja Pegawai,88.54,121,124,4,16.35,32.43,43.24,9.76,86.64,Ya
SAT0197,Kemen PUPR,Kalimantan Timur,Dekonsentrasi,Bantuan Sosial,6.02,66,171,2,22.21,36.82,55.04,1.18,72.3,Tidak
SAT0198,Kemenag,Kalimantan Timur,Kantor Daerah,Belanja Barang,46.13,75,137,4,8.51,18.54,31.14,8.16,70.13,Ya
SAT0199,Kemensos,Jawa Timur,Kantor Pusat,Belanja Barang,44.88,339,69,0,17.14,41.73,52.18,0.19,90.11,Ya
SAT0200,Kemensos,Papua,Tugas Pembantuan,Bantuan Sosial,15.19,107,17,0,5.69,35.03,52.24,29.35,89.25,Tidak
SAT0201,Kemenhub,Bali,Kantor Daerah,Belanja Modal,32.58,153,185,2,17.64,32.13,57.8,28.97,82.32,Tidak
SAT0202,Kemenkeu,Lampung,Tugas Pembantuan,Belanja Pegawai,4.91,377,86,5,29.1,52.36,73.68,11.85,84.69,Tidak
SAT0203,Kemensos,DKI Jakarta,Kantor Daerah,Bantuan Sosial,66.76,444,177,3,14.61,39.45,55.71,21.85,82.46,Tidak
SAT0204,Kemensos,Jawa Barat,Tugas Pembantuan,Belanja Barang,17.64,134,164,1,5.97,32.94,56.03,10.37,70.72,Ya
SAT0205,Kemendikbud,Riau,Kantor Daerah,Belanja Barang,11.76,176,168,3,5.77,24.22,38.86,20.13,80.06,Tidak
SAT0206,Kemen PUPR,Aceh,Dekonsentrasi,Bantuan Sosial,77.56,95,192,4,14.7,30.76,41.05,24.16,75.31,Tidak
SAT0207,Kemendikbud,Riau,Tugas Pembantuan,Belanja Barang,9.46,85,143,1,9.0,25.51,50.8,28.4,72.95,Tidak
SAT0208,Kemen PUPR,Jawa Barat,Kantor Daerah,Bantuan Sosial,4.06,353,195,2,5.58,29.83,52.3,12.01,98.7,Ya
SAT0209,Kemenhan,Lampung,Kantor Daerah,Belanja Barang,3.4,433,153,2,23.91,50.25,75.5,23.5,87.98,Tidak
SAT0210,Kementan,Lampung,Dekonsentrasi,Bantuan Sosial,45.58,303,56,5,16.46,30.09,40.87,7.98,91.86,Tidak
SAT0211,Kemendagri,Sumatera Barat,Dekonsentrasi,Belanja Pegawai,4.74,453,187,1,12.23,29.65,56.39,29.71,79.46,Tidak
SAT0212,Kemensos,Aceh,Dekonsentrasi,Belanja Pegawai,180.91,68,121,0,27.5,55.54,77.93,0.77,81.79,Ya
SAT0213,Kemendagri,Aceh,Tugas Pembantuan,Belanja Pegawai,1.81,147,30,1,7.9,34.03,55.3,18.11,77.11,Ya
SAT0214,Kemensos,Bali,Tugas Pembantuan,Belanja Pegawai,168.68,108,38,4,28.9,58.6,81.09,19.79,72.91,Ya
SAT0215,Kemendikbud,Aceh,Dekonsentrasi,Belanja Barang,28.37,201,56,0,12.85,37.93,65.22,20.64,75.37,Tidak
SAT0216,Kementan,DKI Jakarta,Kantor Pusat,Belanja Modal,19.61,252,116,2,27.21,45.07,66.81,3.61,93.93,Tidak
SAT0217,Kemendikbud,Jawa Timur,Kantor Pusat,Bantuan Sosial,11.45,328,86,1,20.07,41.88,63.5,28.16,90.33,Tidak
SAT0218,Kemendikbud,NTT,Kantor Daerah,Belanja Modal,35.56,58,184,3,25.67,48.89,78.7,5.44,86.41,Ya
SAT0219,Kemen PUPR,Lampung,Kantor Pusat,Belanja Barang,21.05,457,161,5,29.6,41.17,66.3,18.68,84.25,Tidak
SAT0220,Kemenkeu,Sumatera Utara,Kantor Daerah,Belanja Barang,82.78,41,170,3,12.21,33.1,51.95,6.68,97.67,Tidak
SAT0221,Kemenag,Papua,Tugas Pembantuan,Belanja Modal,25.26,400,46,5,29.03,53.22,77.37,9.22,72.18,Tidak
SAT0222,Kemenhub,Kalimantan Timur,Tugas Pembantuan,Belanja Modal,26.38,286,25,4,14.74,28.09,45.87,16.39,78.42,Tidak
SAT0223,Kemendagri,Bali,Kantor Pusat,Belanja Barang,14.24,29,46,3,14.64,40.25,54.83,12.52,80.5,Ya
SAT0224,Kemenhan,NTB,Tugas Pembantuan,Belanja Barang,20.57,163,145,1,13.51,35.19,57.13,4.81,93.47,Tidak
SAT0225,Kemensos,Sumatera Barat,Dekonsentrasi,Bantuan Sosial,31.87,392,117,1,18.54,47.58,76.14,5.13,99.78,Ya
SAT0226,Kemendikbud,Papua,Dekonsentrasi,Belanja Pegawai,2.83,77,109,3,8.85,19.7,48.28,12.54,77.22,Tidak
SAT0227,Kemenkeu,Riau,Kantor Pusat,Belanja Pegawai,4.37,375,196,1,18.84,34.15,50.99,22.72,96.23,Ya
SAT0228,Kemendikbud,Kalimantan Timur,Kantor Pusat,Bantuan Sosial,53.74,381,21,4,18.54,40.57,61.12,26.94,94.92,Tidak
SAT0229,Kementan,Sumatera Utara,Kantor Daerah,Belanja Modal,27.04,223,124,0,24.05,39.98,54.21,2.52,76.74,Ya
SAT0230,Kemen PUPR,Riau,Tugas Pembantuan,Belanja Barang,17.66,152,141,4,25.84,50.13,80.04,11.79,81.98,Tidak
SAT0231,Kemenhan,Aceh,Kantor Daerah,Belanja Modal,22.52,385,173,5,16.01,41.19,70.81,3.01,82.29,Tidak
SAT0232,Kemenag,Sumatera Utara,Kantor Daerah,Belanja Pegawai,33.43,241,133,4,12.56,24.61,47.6,0.5,99.35,Tidak
SAT0233,Kementan,NTT,Dekonsentrasi,Belanja Pegawai,11.53,222,134,5,11.48,31.76,57.85,19.85,75.43,Tidak
SAT0234,Kemenkes,Sumatera Barat,Dekonsentrasi,Belanja Modal,8.66,88,64,1,9.87,30.05,54.35,18.07,93.97,Ya
SAT0235,Kemenhan,Sulawesi Selatan,Dekonsentrasi,Belanja Pegawai,27.86,223,52,0,6.44,23.83,45.69,4.89,80.03,Ya
SAT0236,Kemendikbud,Sumatera Utara,Dekonsentrasi,Belanja Barang,6.81,125,33,1,13.56,42.22,53.29,7.01,91.93,Tidak
SAT0237,Kementan,Riau,Kantor Daerah,Bantuan Sosial,35.95,101,101,2,11.76,38.31,57.41,0.71,82.6,Ya
SAT0238,Kemenag,Lampung,Dekonsentrasi,Belanja Modal,2.86,279,14,1,29.16,53.1,76.6,25.05,87.35,Tidak
SAT0239,Kemenkeu,Sumatera Barat,Tugas Pembantuan,Belanja Barang,75.73,420,62,5,18.94,43.23,66.78,29.24,94.98,Tidak
SAT0240,Kemenkeu,Papua,Dekonsentrasi,Belanja Barang,38.84,390,192,1,13.68,32.91,50.37,4.06,94.12,Tidak
SAT0241,Kemendagri,Jawa Tengah,Dekonsentrasi,Belanja Pegawai,29.95,498,25,1,19.51,47.93,76.76,6.94,95.99,Ya
SAT0242,Kemenag,Jawa Tengah,Dekonsentrasi,Belanja Barang,71.63,177,32,0,8.48,32.37,45.72,26.05,71.79,Tidak
SAT0243,Kemenkeu,Aceh,Kantor Pusat,Belanja Modal,162.52,67,38,1,16.1,40.68,60.69,27.79,90.76,Ya
SAT0244,Kementan,Kalimantan Timur,Tugas Pembantuan,Belanja Barang,74.4,293,12,0,20.66,47.89,71.71,12.59,74.2,Tidak
SAT0245,Kemendagri,Kalimantan Timur,Tugas Pembantuan,Bantuan Sosial,2.42,35,191,3,17.22,32.7,56.64,1.52,82.47,Tidak
SAT0246,Kemenkeu,Sulawesi Selatan,Kantor Daerah,Belanja Barang,4.74,378,181,2,15.04,41.18,64.15,1.18,86.46,Ya
SAT0247,Kemenhan,Jawa Tengah,Kantor Daerah,Belanja Barang,10.41,456,83,0,29.85,43.75,59.26,17.22,82.08,Ya
SAT0248,Kemen PUPR,NTB,Dekonsentrasi,Bantuan Sosial,22.73,75,149,5,27.01,43.92,57.04,11.79,85.59,Tidak
SAT0249,Kemenkes,Riau,Kantor Pusat,Belanja Barang,40.99,418,192,3,20.59,37.3,60.02,0.86,99.9,Tidak
SAT0250,Kemenag,Kalimantan Timur,Kantor Daerah,Belanja Barang,9.22,257,91,0,19.23,48.8,70.79,17.5,74.06,Ya
SAT0251,Kementan,Sumatera Utara,Kantor Daerah,Belanja Pegawai,27.56,263,92,0,20.52,47.65,61.24,0.34,90.26,Ya
SAT0252,Kemensos,Kalimantan Timur,Dekonsentrasi,Belanja Modal,8.9,396,177,2,10.03,34.05,58.15,23.62,81.88,Ya
SAT0253,Kemendikbud,Jawa Barat,Dekonsentrasi,Belanja Pegawai,10.57,465,73,5,14.88,39.42,58.52,9.19,73.99,Ya
SAT0254,Kementan,Sulawesi Selatan,Kantor Daerah,Belanja Modal,4.07,53,164,4,5.99,27.23,50.59,1.21,74.76,Tidak
SAT0255,Kemenkeu,NTB,Kantor Daerah,Bantuan Sosial,7.27,106,176,4,16.89,45.83,72.58,17.65,98.48,Tidak
SAT0256,Kementan,Bali,Tugas Pembantuan,Bantuan Sosial,4.35,51,197,0,18.58,38.51,51.9,11.93,96.39,Tidak
SAT0257,Kemensos,DKI Jakarta,Kantor Pusat,Bantuan Sosial,6.83,236,91,1,10.69,28.3,38.68,29.21,97.21,Ya
SAT0258,Kemendikbud,Jawa Timur,Tugas Pembantuan,Belanja Modal,77.99,271,105,5,29.1,42.36,67.94,16.33,99.75,Tidak
SAT0259,Kemendagri,Sumatera Barat,Kantor Daerah,Belanja Modal,7.05,176,12,3,27.74,53.46,75.65,8.26,76.25,Tidak
SAT0260,Kemenkeu,DKI Jakarta,Tugas Pembantuan,Belanja Modal,500.0,445,81,1,23.05,47.74,71.73,21.28,80.66,Ya
SAT0261,Kemenhub,NTB,Tugas Pembantuan,Bantuan Sosial,39.81,288,91,1,18.33,36.02,62.78,8.14,90.08,Tidak
SAT0262,Kemenkeu,DKI Jakarta,Kantor Daerah,Belanja Modal,27.5,98,47,5,26.75,37.25,63.31,27.13,84.51,Ya
SAT0263,Kemenkes,NTT,Dekonsentrasi,Belanja Barang,7.86,388,133,0,8.27,35.05,64.27,11.24,82.55,Tidak
SAT0264,Kemenhub,Lampung,Kantor Daerah,Belanja Pegawai,51.04,187,113,0,24.76,34.99,55.71,16.5,80.73,Tidak
SAT0265,Kemenkes,NTB,Dekonsentrasi,Bantuan Sosial,11.04,436,183,0,8.12,32.19,51.96,1.52,87.81,Ya
SAT0266,Kemensos,NTB,Kantor Daerah,Belanja Pegawai,25.5,412,156,0,24.86,54.27,72.31,12.78,87.27,Ya
SAT0267,Kemenag,Sumatera Barat,Kantor Daerah,Belanja Barang,475.49,206,156,4,11.89,30.64,43.71,24.97,74.84,Ya
SAT0268,Kemendikbud,Bali,Kantor Daerah,Belanja Modal,19.63,316,21,0,26.93,41.63,63.08,24.17,84.15,Ya
SAT0269,Kemen PUPR,Kalimantan Timur,Kantor Pusat,Belanja Pegawai,87.48,276,137,4,28.6,52.7,68.24,6.73,86.6,Tidak
SAT0270,Kemendagri,Lampung,Dekonsentrasi,Belanja Barang,9.47,277,152,4,8.72,35.06,63.49,6.78,87.11,Tidak
SAT0271,Kemen PUPR,NTT,Kantor Pusat,Belanja Barang,21.12,83,25,0,16.57,37.5,59.16,24.52,76.3,Ya
SAT0272,Kemenhan,Riau,Kantor Daerah,Belanja Pegawai,184.42,17,62,2,29.52,58.86,80.72,27.91,92.27,Ya
SAT0273,Kemenhan,DKI Jakarta,Tugas Pembantuan,Bantuan Sosial,10.38,417,163,3,17.09,28.12,45.22,2.86,70.76,Tidak
SAT0274,Kemensos,Sumatera Barat,Kantor Pusat,Belanja Pegawai,193.87,485,114,1,26.59,46.69,57.73,13.5,80.64,Tidak
SAT0275,Kemenag,NTB,Dekonsentrasi,Bantuan Sosial,51.5,306,143,4,19.72,44.09,54.72,10.12,93.41,Tidak
SAT0276,Kemenhan,Riau,Kantor Daerah,Belanja Modal,11.22,173,184,5,14.38,41.63,60.1,26.12,86.92,Tidak
SAT0277,Kemenkeu,Jawa Barat,Kantor Pusat,Bantuan Sosial,47.05,494,147,5,12.14,25.73,37.42,2.51,77.83,Tidak
SAT0278,Kementan,Jawa Timur,Tugas Pembantuan,Belanja Modal,70.76,94,139,3,10.08,36.08,58.22,6.33,90.85,Ya
SAT0279,Kemenkes,DKI Jakarta,Kantor Pusat,Belanja Pegawai,46.45,81,32,5,24.04,45.09,72.71,22.57,87.02,Ya
SAT0280,Kemenhan,Jawa Tengah,Dekonsentrasi,Belanja Modal,3.35,64,55,2,14.66,32.59,60.25,1.54,93.89,Tidak
SAT0281,Kemensos,Bali,Kantor Pusat,Belanja Barang,9.2,402,190,5,17.78,30.41,53.59,14.78,92.05,Tidak
SAT0282,Kemenkes,Bali,Tugas Pembantuan,Belanja Modal,16.37,56,9,1,17.31,44.62,58.84,13.26,88.3,Tidak
SAT0283,Kemenkeu,Bali,Tugas Pembantuan,Bantuan Sosial,20.14,408,9,1,19.43,32.58,59.84,10.03,84.65,Tidak
SAT0284,Kemenag,Sulawesi Selatan,Dekonsentrasi,Bantuan Sosial,46.39,441,98,4,26.64,42.84,70.56,11.84,74.0,Tidak
SAT0285,Kemendikbud,Sulawesi Selatan,Tugas Pembantuan,Bantuan Sosial,27.26,247,100,0,29.52,45.32,59.25,15.9,77.84,Ya
SAT0286,Kemen PUPR,Sumatera Utara,Kantor Daerah,Belanja Modal,4.44,113,12,2,15.19,42.62,67.37,4.84,82.57,Ya
SAT0287,Kemenkeu,Riau,Tugas Pembantuan,Bantuan Sosial,34.76,219,68,4,25.69,49.14,64.87,17.16,87.98,Ya
SAT0288,Kemendagri,Papua,Kantor Daerah,Bantuan Sosial,45.83,51,142,2,24.11,50.04,76.09,24.16,85.41,Ya
SAT0289,Kemenhub,Jawa Timur,Kantor Pusat,Belanja Barang,43.12,325,42,0,19.34,34.35,64.29,22.8,78.65,Tidak
SAT0290,Kemensos,NTT,Kantor Daerah,Belanja Modal,80.57,477,115,5,28.9,51.4,62.0,4.62,70.19,Tidak
SAT0291,Kemen PUPR,Aceh,Kantor Daerah,Belanja Barang,59.92,463,116,5,10.01,31.44,59.39,4.48,84.89,Tidak
SAT0292,Kemendagri,Lampung,Kantor Pusat,Bantuan Sosial,38.22,277,85,0,7.73,34.39,56.84,8.05,78.57,Tidak
SAT0293,Kemendikbud,Lampung,Tugas Pembantuan,Bantuan Sosial,20.25,395,140,4,26.35,54.47,83.94,10.83,92.04,Ya
SAT0294,Kemendagri,Lampung,Kantor Daerah,Bantuan Sosial,3.0,272,108,0,15.98,26.22,45.52,12.25,70.72,Ya
SAT0295,Kemenag,Kalimantan Timur,Tugas Pembantuan,Belanja Modal,36.88,345,157,3,26.17,49.65,76.6,20.39,87.54,Tidak
SAT0296,Kemenhub,DKI Jakarta,Kantor Pusat,Belanja Pegawai,28.26,396,77,1,27.33,38.37,49.62,1.7,98.24,Tidak
SAT0297,Kemenkes,Aceh,Dekonsentrasi,Bantuan Sosial,30.51,374,198,4,6.56,27.54,44.25,1.04,75.23,Tidak
SAT0298,Kemen PUPR,Papua,Tugas Pembantuan,Bantuan Sosial,4.76,268,182,2,27.09,42.84,54.18,11.76,84.15,Tidak
SAT0299,Kemenhub,Kalimantan Timur,Tugas Pembantuan,Bantuan Sosial,6.02,292,199,3,16.21,32.35,61.86,20.91,72.74,Tidak
SAT0300,Kementan,NTT,Dekonsentrasi,Bantuan Sosial,77.95,123,53,4,17.76,34.82,61.16,5.8,88.77,Tidak
SAT0301,Kemenkeu,Lampung,Dekonsentrasi,Belanja Modal,21.01,372,40,0,20.66,43.09,70.14,19.25,86.52,Ya
SAT0302,Kementan,Papua,Kantor Pusat,Belanja Pegawai,49.9,49,130,0,28.16,44.84,73.6,7.79,82.22,Tidak
SAT0303,Kemenkeu,Kalimantan Timur,Tugas Pembantuan,Belanja Pegawai,22.79,495,72,0,5.48,30.13,41.83,26.58,85.64,Tidak
SAT0304,Kemenag,Jawa Barat,Tugas Pembantuan,Belanja Pegawai,22.83,426,82,0,16.92,35.01,52.72,26.87,96.9,Ya
SAT0305,Kemenhub,Aceh,Kantor Pusat,Bantuan Sosial,67.91,229,109,2,22.19,33.56,44.98,8.92,75.89,Tidak
SAT0306,Kemendikbud,Sulawesi Selatan,Tugas Pembantuan,Bantuan Sosial,11.86,138,173,3,23.07,48.75,62.97,6.9,70.68,Ya
SAT0307,Kemenhan,NTT,Kantor Daerah,Belanja Pegawai,24.72,17,126,5,22.31,38.03,52.62,12.34,95.85,Tidak
SAT0308,Kemendagri,Lampung,Kantor Daerah,Belanja Pegawai,12.65,110,123,1,8.36,27.02,46.4,7.22,87.31,Ya
SAT0309,Kemenhan,Sumatera Barat,Kantor Daerah,Bantuan Sosial,13.08,425,194,2,12.48,36.19,51.56,20.17,96.72,Tidak
SAT0310,Kemenhub,Jawa Timur,Tugas Pembantuan,Bantuan Sosial,15.2,389,118,2,13.97,30.62,42.64,24.78,87.91,Ya
SAT0311,Kementan,Jawa Tengah,Kantor Daerah,Belanja Barang,28.75,185,14,5,25.11,36.24,49.59,20.19,94.3,Tidak
SAT0312,Kemenhan,Jawa Barat,Kantor Daerah,Belanja Barang,12.4,116,153,5,11.97,29.45,42.4,24.73,82.89,Ya
SAT0313,Kemensos,Sulawesi Selatan,Kantor Pusat,Belanja Barang,99.4,110,168,1,10.27,39.16,68.62,11.91,92.5,Ya
SAT0314,Kemenhan,Bali,Kantor Pusat,Belanja Pegawai,7.53,269,144,1,28.94,51.77,76.96,4.69,97.39,Ya
SAT0315,Kemenkeu,Sulawesi Selatan,Dekonsentrasi,Belanja Modal,17.6,487,95,5,5.22,28.65,58.01,22.14,87.16,Tidak
SAT0316,Kemensos,Papua,Dekonsentrasi,Bantuan Sosial,13.0,463,6,0,29.95,52.6,71.39,10.81,75.42,Ya
SAT0317,Kemen PUPR,NTB,Dekonsentrasi,Belanja Barang,125.04,375,122,2,21.92,35.9,51.47,20.14,78.06,Ya
SAT0318,Kemenhan,Sumatera Utara,Dekonsentrasi,Belanja Modal,27.89,255,17,4,25.71,44.08,70.05,8.12,75.96,Tidak
SAT0319,Kemensos,Jawa Barat,Kantor Pusat,Bantuan Sosial,75.98,284,185,1,12.37,37.39,53.92,2.44,77.41,Tidak
SAT0320,Kemenhub,Bali,Kantor Pusat,Belanja Modal,3.7,41,164,1,5.36,17.39,33.38,29.78,79.19,Tidak
SAT0321,Kemendagri,Papua,Kantor Pusat,Belanja Pegawai,30.35,146,99,5,23.45,39.01,53.66,4.69,86.65,Ya
SAT0322,Kemen PUPR,NTB,Kantor Daerah,Belanja Pegawai,64.06,21,148,3,25.85,41.38,53.97,29.65,87.64,Tidak
SAT0323,Kemendikbud,NTT,Kantor Daerah,Belanja Pegawai,24.31,404,36,4,23.51,42.15,57.28,29.32,82.79,Tidak
SAT0324,Kemendikbud,Jawa Timur,Dekonsentrasi,Belanja Barang,79.11,311,36,4,8.57,38.18,55.29,23.81,88.46,Ya
SAT0325,Kemenag,Sulawesi Selatan,Kantor Daerah,Bantuan Sosial,11.84,384,128,1,23.84,35.19,58.67,19.78,72.45,Tidak
SAT0326,Kemenhan,Aceh,Tugas Pembantuan,Belanja Pegawai,119.52,25,15,0,24.22,44.59,55.84,17.33,72.63,Tidak
SAT0327,Kemendagri,Sumatera Barat,Kantor Pusat,Belanja Barang,347.55,138,14,3,21.46,35.05,49.26,25.98,75.15,Tidak
SAT0328,Kemenkes,NTT,Dekonsentrasi,Belanja Barang,14.25,72,19,4,24.15,53.56,79.74,8.68,85.54,Ya
SAT0329,Kemensos,Bali,Dekonsentrasi,Belanja Barang,12.91,118,21,1,26.15,38.42,51.36,14.03,76.42,Ya
SAT0330,Kemen PUPR,Papua,Tugas Pembantuan,Belanja Barang,126.0,384,172,4,20.34,38.41,55.26,18.58,78.5,Tidak
SAT0331,Kemenhub,Lampung,Kantor Daerah,Belanja Pegawai,146.6,30,150,3,7.22,31.98,59.27,12.34,82.01,Tidak
SAT0332,Kemenhan,Sumatera Utara,Dekonsentrasi,Belanja Barang,11.76,167,187,3,17.19,41.28,54.38,12.82,94.36,Ya
SAT0333,Kemenhub,Lampung,Kantor Daerah,Belanja Pegawai,13.3,278,157,2,6.94,25.39,37.04,9.91,70.42,Tidak
SAT0334,Kemenkes,Sulawesi Selatan,Kantor Daerah,Belanja Pegawai,15.71,171,63,5,15.19,32.12,51.81,16.93,89.48,Tidak
SAT0335,Kemenag,Sumatera Barat,Tugas Pembantuan,Belanja Barang,4.39,269,82,5,15.18,33.13,49.18,25.52,90.07,Tidak
SAT0336,Kemenkes,Jawa Timur,Dekonsentrasi,Belanja Pegawai,7.31,421,128,1,6.65,21.94,43.21,6.05,93.96,Ya
SAT0337,Kemenkeu,Sumatera Utara,Kantor Daerah,Bantuan Sosial,6.6,111,118,3,13.72,27.83,53.91,28.03,97.98,Tidak
SAT0338,Kementan,Kalimantan Timur,Kantor Daerah,Bantuan Sosial,8.77,232,26,2,7.77,27.43,40.17,20.67,70.6,Ya
SAT0339,Kemen PUPR,Papua,Tugas Pembantuan,Belanja Modal,21.13,68,162,2,25.21,40.58,62.19,24.7,74.61,Tidak
SAT0340,Kementan,NTT,Tugas Pembantuan,Bantuan Sosial,29.17,256,176,4,28.69,44.44,64.55,16.69,96.59,Ya
SAT0341,Kemenkes,Sumatera Barat,Kantor Daerah,Belanja Pegawai,141.58,137,36,4,6.81,29.95,42.83,23.39,83.76,Tidak
SAT0342,Kemenag,Riau,Tugas Pembantuan,Belanja Pegawai,6.65,292,183,2,28.88,58.25,80.73,0.49,86.94,Tidak
SAT0343,Kemenag,Sulawesi Selatan,Kantor Daerah,Bantuan Sosial,71.77,334,178,4,18.06,40.13,55.6,24.55,89.89,Ya
SAT0344,Kemendikbud,NTB,Dekonsentrasi,Belanja Barang,17.04,34,117,3,12.49,24.03,43.79,1.2,90.37,Tidak
SAT0345,Kemenhan,Sulawesi Selatan,Kantor Pusat,Belanja Barang,20.76,140,124,0,6.92,18.43,30.08,26.7,97.95,Tidak
SAT0346,Kemendikbud,Bali,Tugas Pembantuan,Belanja Pegawai,49.5,362,153,3,17.52,46.55,65.74,29.76,99.91,Tidak
SAT0347,Kemen PUPR,Sumatera Barat,Kantor Pusat,Belanja Barang,5.73,205,126,2,24.86,40.81,56.94,8.82,91.6,Tidak
SAT0348,Kemen PUPR,Jawa Timur,Kantor Daerah,Belanja Modal,34.85,290,36,2,22.68,34.52,60.97,6.31,78.62,Ya
SAT0349,Kemen PUPR,Jawa Tengah,Kantor Daerah,Belanja Modal,26.9,413,123,3,6.26,28.24,39.38,22.96,96.39,Ya
SAT0350,Kemenhub,NTB,Kantor Daerah,Bantuan Sosial,39.77,427,43,4,6.82,29.29,47.66,7.59,71.48,Ya
SAT0351,Kemendikbud,Kalimantan Timur,Kantor Pusat,Bantuan Sosial,31.16,163,16,4,15.07,38.04,57.21,25.97,76.93,Ya
SAT0352,Kemenhub,Sumatera Utara,Kantor Daerah,Belanja Barang,419.31,391,179,5,12.38,27.73,52.23,3.09,96.92,Ya
SAT0353,Kementan,Jawa Barat,Tugas Pembantuan,Belanja Pegawai,10.25,142,22,2,10.81,21.11,42.6,3.78,77.69,Ya
SAT0354,Kemenhan,Jawa Barat,Dekonsentrasi,Bantuan Sosial,11.65,236,153,1,12.03,41.33,64.67,29.37,76.62,Tidak
SAT0355,Kemenkes,Sumatera Barat,Dekonsentrasi,Belanja Modal,10.43,198,145,5,25.09,40.11,65.65,20.22,74.14,Tidak
SAT0356,Kemensos,Sulawesi Selatan,Tugas Pembantuan,Bantuan Sosial,11.31,485,153,4,28.23,51.75,78.99,25.41,95.77,Ya
SAT0357,Kemendikbud,Bali,Dekonsentrasi,Bantuan Sosial,10.25,486,130,3,15.13,39.26,55.54,9.73,85.0,Ya
SAT0358,Kemensos,DKI Jakarta,Kantor Pusat,Belanja Modal,91.75,274,140,4,27.65,49.85,70.61,20.29,90.25,Tidak
SAT0359,Kemenag,Aceh,Kantor Daerah,Belanja Pegawai,121.13,381,50,3,13.04,29.3,56.1,17.83,77.17,Ya
SAT0360,Kemendikbud,Sumatera Barat,Kantor Daerah,Bantuan Sosial,11.1,495,108,5,16.91,32.33,62.12,18.09,92.74,Ya
SAT0361,Kementan,Sulawesi Selatan,Kantor Daerah,Bantuan Sosial,8.11,443,139,2,10.65,32.6,60.39,20.48,92.8,Ya
SAT0362,Kemendikbud,Lampung,Kantor Pusat,Bantuan Sosial,38.78,143,155,4,21.01,48.33,65.76,17.26,79.38,Tidak
SAT0363,Kemenhub,Jawa Barat,Kantor Pusat,Belanja Barang,11.35,220,90,3,29.47,58.4,72.3,12.87,82.32,Tidak
SAT0364,Kemenhan,Jawa Barat,Kantor Pusat,Bantuan Sosial,47.08,69,154,2,20.09,32.21,52.0,8.28,76.29,Ya
SAT0365,Kemenkes,Kalimantan Timur,Tugas Pembantuan,Belanja Modal,28.1,437,93,1,13.95,27.05,51.88,23.06,99.3,Tidak
SAT0366,Kemendagri,NTT,Kantor Pusat,Belanja Pegawai,3.57,386,26,3,21.2,50.09,69.94,6.79,89.37,Tidak
SAT0367,Kemenkes,DKI Jakarta,Dekonsentrasi,Belanja Pegawai,141.07,404,96,5,8.07,32.8,52.46,20.77,98.04,Tidak
SAT0368,Kemenkes,Sulawesi Selatan,Tugas Pembantuan,Belanja Modal,190.05,459,33,1,27.22,54.88,81.64,7.0,79.1,Tidak
SAT0369,Kemenag,NTB,Tugas Pembantuan,Belanja Barang,10.56,440,17,1,17.58,31.63,48.86,18.76,93.46,Tidak
SAT0370,Kementan,Kalimantan Timur,Tugas Pembantuan,Belanja Modal,13.83,373,6,0,16.23,37.98,65.18,22.41,92.98,Ya
SAT0371,Kemensos,NTB,Kantor Pusat,Belanja Pegawai,31.04,373,33,4,19.65,43.67,61.81,6.56,90.75,Ya
SAT0372,Kementan,Bali,Tugas Pembantuan,Belanja Modal,32.9,466,184,3,20.62,44.22,60.78,1.8,98.97,Ya
SAT0373,Kemendagri,Kalimantan Timur,Kantor Pusat,Belanja Barang,48.55,222,31,1,6.79,24.95,44.03,3.93,81.81,Tidak
SAT0374,Kemenag,Sulawesi Selatan,Kantor Pusat,Belanja Pegawai,245.79,225,54,0,22.07,32.38,57.63,18.18,73.92,Tidak
SAT0375,Kemenhan,Papua,Tugas Pembantuan,Belanja Barang,17.81,235,99,5,11.05,32.71,45.23,25.48,90.15,Tidak
SAT0376,Kemenkes,Riau,Kantor Daerah,Belanja Modal,8.45,479,155,2,22.85,37.91,51.84,1.35,91.88,Tidak
